Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 1;ESMERALDAS;ESMERALDAS;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;24;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;29;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;44;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;MUJER;30;ECUATORIANO
ZONA 4;MANABI;JIPIJAPA;CONTRAVENCIONES DE CUARTA CLASE;5/10/2019;HOMBRE;24;ECUATORIANO
ZONA 1;ESMERALDAS;RIOVERDE;ATAQUE O RESISTENCIA;5/10/2019;HOMBRE;22;ECUATORIANO
ZONA 5;LOS RIOS;QUEVEDO;ROBO A PERSONAS;5/10/2019;HOMBRE;30;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;5/10/2019;HOMBRE;40;COLOMBIANO
ZONA 4;MANABI;CHONE;ROBO A PERSONAS;4/10/2019;HOMBRE;27;ECUATORIANO
ZONA 7;EL ORO;MACHALA;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;4/10/2019;HOMBRE;28;ECUATORIANO
ZONA 1;IMBABURA;OTAVALO;CONTRAVENCIONES DE CUARTA CLASE;4/10/2019;HOMBRE;24;ECUATORIANO
ZONA 7;EL ORO;ARENILLAS;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;HOMBRE;32;ECUATORIANO
ZONA 1;IMBABURA;OTAVALO;CONTRAVENCIONES DE CUARTA CLASE;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;CONTRAVENCIONES DE SEGUNDA CLASE;5/10/2019;HOMBRE;48;ECUATORIANO
