Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 5;BOLIVAR;CHIMBO;VARIOS;1/1/2017;BOLETA;HOMBRE;19;ECUATORIANA
ZONA 7;EL ORO;HUAQUILLAS;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;43;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;ROBO DOMICILIO;1/1/2017;FLAGRANTE;HOMBRE;37;ECUATORIANA
ZONA 5;LOS RIOS;BABAHOYO;VARIOS;1/1/2017;BOLETA;HOMBRE;25;ECUATORIANA
ZONA 5;LOS RIOS;QUEVEDO;ROBO A PERSONAS;1/1/2017;FLAGRANTE;HOMBRE;33;ECUATORIANA
ZONA 2;NAPO;TENA;TENTATIVA DE ROBO;1/1/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 2;ORELLANA;LORETO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;35;ECUATORIANA
ZONA 2;ORELLANA;LORETO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;19;ECUATORIANA
ZONA 5;SANTA ELENA;SANTA ELENA;VARIOS;1/1/2017;BOLETA;HOMBRE;30;ECUATORIANA
ZONA 4;MANABI;PORTOVIEJO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;HURTO;1/1/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;37;ECUATORIANA
ZONA 5;GUAYAS;PLAYAS;VARIOS;1/1/2017;BOLETA;HOMBRE;31;ECUATORIANA
ZONA 2;ORELLANA;LORETO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;34;ECUATORIANA
ZONA 5;LOS RIOS;BUENA FE;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 3;PASTAZA;PASTAZA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;33;ECUATORIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;40;ECUATORIANA
ZONA 9;DMQ;QUITO;TENTATIVA DE VIOLACION;1/1/2017;FLAGRANTE;HOMBRE;;COLOMBIANA
ZONA 3;COTOPAXI;LATACUNGA;HURTO;1/1/2017;BOLETA;HOMBRE;16;ECUATORIANA
ZONA 1;IMBABURA;IBARRA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;54;ECUATORIANA
ZONA 2;PICHINCHA;PUERTO QUITO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;64;ECUATORIANA
ZONA 2;NAPO;TENA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;38;ECUATORIANA
ZONA 2;ORELLANA;PUERTO FRANCISCO DE ORELLANA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 2;PICHINCHA;RUMIÑAHUI;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;17;ECUATORIANA
ZONA 2;PICHINCHA;RUMIÑAHUI;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 2;PICHINCHA;RUMIÑAHUI;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;22;ECUATORIANA
ZONA 2;PICHINCHA;RUMIÑAHUI;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;24;ECUATORIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;VARIOS;1/1/2017;BOLETA;HOMBRE;28;ECUATORIANA
ZONA 8;DMG;DURAN;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;HERIDAS/LESIONES;1/1/2017;BOLETA;HOMBRE;29;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;43;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;23;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;HURTO;1/1/2017;FLAGRANTE;HOMBRE;25;ECUATORIANA
ZONA 1;ESMERALDAS;ATACAMES;HURTO;1/1/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 7;EL ORO;MACHALA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;69;ECUATORIANA
ZONA 7;EL ORO;MACHALA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;32;ECUATORIANA
ZONA 7;LOJA;LOJA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;44;ECUATORIANA
ZONA 7;ZAMORA CHINCHIPE;YANTZAZA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;48;ECUATORIANA
ZONA 7;EL ORO;PASAJE;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;19;ECUATORIANA
ZONA 1;IMBABURA;SAN MIGUEL DE URCUQUI;ROBO DOMICILIO;1/1/2017;FLAGRANTE;HOMBRE;;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;FALSIFICACION;1/1/2017;FLAGRANTE;HOMBRE;35;ECUATORIANA
ZONA 5;LOS RIOS;QUEVEDO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 5;LOS RIOS;QUEVEDO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;71;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;FALSIFICACION;1/1/2017;FLAGRANTE;HOMBRE;27;ECUATORIANA
ZONA 1;ESMERALDAS;RIOVERDE;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;38;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;40;ECUATORIANA
ZONA 6;AZUAY;CUENCA;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;38;ECUATORIANA
ZONA 7;EL ORO;MACHALA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 6;AZUAY;CUENCA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;57;ECUATORIANA
ZONA 3;PASTAZA;PASTAZA;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;19;ECUATORIANA
ZONA 5;GUAYAS;EMPALME;VARIOS;1/1/2017;BOLETA;HOMBRE;36;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;45;ECUATORIANA
ZONA 5;LOS RIOS;VINCES;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;46;ECUATORIANA
