Zona;Subzona;Cantón;presunta_subinfraccion;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 7;EL ORO;HUAQUILLAS;CONTRAVENCIONES DE SEGUNDA CLASE;14/7/2020;HOMBRE;20;ECUATORIANO
ZONA 7;LOJA;MACARA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;29/6/2020;HOMBRE;34;ECUATORIANO
ZONA 5;BOLIVAR;SAN MIGUEL;BOLETA DE APREMIO;27/8/2020;HOMBRE;20;ECUATORIANO
ZONA 5;BOLIVAR;SAN MIGUEL;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;3/11/2020;HOMBRE;23;ECUATORIANO
ZONA 7;EL ORO;MACHALA;ROBO  A DOMICILIO;12/2/2020;HOMBRE;42;ECUATORIANO
ZONA 9;DMQ;QUITO;SUPLANTACIÓN DE IDENTIDAD;26/9/2020;HOMBRE;22;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;2/3/2020;HOMBRE;28;ECUATORIANO
ZONA 6;AZUAY;CUENCA;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;3/5/2020;HOMBRE;22;ECUATORIANO
ZONA 5;GUAYAS;DAULE;ROBO A PERSONAS;5/1/2020;HOMBRE;21;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ACOSO SEXUAL;13/1/2020;HOMBRE;30;ECUATORIANO
ZONA 5;GUAYAS;EMPALME;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;21/2/2020;HOMBRE;38;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;4/11/2020;HOMBRE;37;ECUATORIANO
ZONA 7;EL ORO;PASAJE;LESIONES CAUSADAS POR ACCIDENTE DE TRÁNSITO;18/7/2020;HOMBRE;47;ECUATORIANO
ZONA 7;LOJA;PALTAS;ALMACENAMIENTO
ZONA 3;COTOPAXI;PUJILI;VIOLENCIA PSICOLÓGICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;9/4/2020;HOMBRE;48;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;22/7/2020;HOMBRE;25;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;BOLETA DE DETENCIÓN/CAPTURA;16/1/2020;MUJER;28;ECUATORIANO
ZONA 2;ORELLANA;ORELLANA;TENENCIA Y PORTE DE ARMAS;23/7/2020;HOMBRE;39;ECUATORIANO
