Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 1;IMBABURA;OTAVALO;CONTRAVENCIONES DE SEGUNDA CLASE;6/2/2019;HOMBRE;17;ECUATORIANO
ZONA 7;EL ORO;PASAJE;NOVEDADES;15/1/2019;MUJER;36;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;14/2/2019;HOMBRE;41;ECUATORIANO
ZONA 2;PICHINCHA;RUMINAHUI;INFRAESTRUCTURA ILICITA;7/2/2019;HOMBRE;40;ECUATORIANO
ZONA 4;MANABI;EL CARMEN;BOLETA DE DETENCIÓN/CAPTURA;28/2/2019;HOMBRE;47;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRABANDO;12/2/2019;HOMBRE;39;ECUATORIANO
ZONA 5;LOS RIOS;VENTANAS;NOVEDADES;10/2/2019;HOMBRE;19;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;TODO EL QUE ULTRAJARE A UNA PERSONA CON BOFETADAS
ZONA 4;MANABI;PORTOVIEJO;PATRULLAJES Y OPERATIVOS;5/2/2019;HOMBRE;34;ECUATORIANO
ZONA 5;SANTA ELENA;SALINAS;CONTRAVENCIONES DE CUARTA CLASE;8/2/2019;HOMBRE;49;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;25/1/2019;HOMBRE;47;ECUATORIANO
ZONA 7;EL ORO;PASAJE;BOLETA DE APREMIO;13/2/2019;HOMBRE;58;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;21/2/2019;HOMBRE;20;VENEZOLANO
ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;ARMA DE FUEGO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;2/3/2019;MUJER;32;VENEZOLANO
ZONA 5;GUAYAS;PALESTINA;ROBO A PERSONAS;30/1/2019;HOMBRE;30;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;24/1/2019;MUJER;22;ESPAÑOL
ZONA 8;DMG;GUAYAQUIL;PATRULLAJES Y OPERATIVOS;25/1/2019;HOMBRE;15;ECUATORIANO
ZONA 5;GUAYAS;PEDRO CARBO;UTILIZACIÓN DE ARMAS PROHIBIDAS;29/1/2019;HOMBRE;17;ECUATORIANO
ZONA 5;GUAYAS;EL TRIUNFO;PATRULLAJES Y OPERATIVOS;17/1/2019;HOMBRE;42;ECUATORIANO
ZONA 2;NAPO;TENA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;27/2/2019;MUJER;34;ECUATORIANO
ZONA 2;NAPO;TENA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;23/2/2019;HOMBRE;21;ECUATORIANO
ZONA 2;NAPO;TENA;BOLETA DE APREMIO;7/1/2019;HOMBRE;42;ECUATORIANO
ZONA 1;SUCUMBIOS;CASCALES;BOLETA DE DETENCIÓN/CAPTURA;14/2/2019;HOMBRE;15;ECUATORIANO
ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;NOVEDADES;2/3/2019;HOMBRE;19;ECUATORIANO
ZONA 7;EL ORO;ARENILLAS;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;19/1/2019;HOMBRE;33;ECUATORIANO
ZONA 7;EL ORO;PASAJE;ABUSO SEXUAL;21/2/2019;HOMBRE;36;ECUATORIANO
ZONA 5;LOS RIOS;QUEVEDO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;15/1/2019;HOMBRE;25;ECUATORIANO
ZONA 5;GUAYAS;NOBOL;NOVEDADES;7/1/2019;HOMBRE;24;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ASESINATO;20/1/2019;MUJER;35;ECUATORIANO
ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;PATRULLAJES Y OPERATIVOS;3/2/2019;HOMBRE;19;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;NOVEDADES;4/2/2019;HOMBRE;18;ECUATORIANO
ZONA 1;IMBABURA;COTACACHI;OTROS;20/1/2019;HOMBRE;38;ECUATORIANO
ZONA 1;IMBABURA;ANTONIO ANTE;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;3/3/2019;HOMBRE;28;ECUATORIANO
